hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
2, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
3, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
4, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
5, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
6, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
7, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
8, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
9, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
10, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
11, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
12, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
13, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
14, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
15, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
16, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
17, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
18, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
19, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
20, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
21, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
22, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
23, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
24, 0.00000, 11.4003, 4.67236, 11.4048, 4.67297, 11.4036, 4.67144, 0, 0
25, 0.00000, 9.15302, 3.65214, 9.15648, 3.65259, 9.15558, 3.65144, 0, 0
26, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
27, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
28, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
29, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
30, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
31, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
32, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
33, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
34, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
35, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
36, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
37, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
38, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
39, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
40, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
41, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
42, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
43, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
44, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
45, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
46, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
47, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
48, 0.00000, 9.15301, 3.65213, 9.15647, 3.65259, 9.15557, 3.65143, 0, 0
49, 0.00000, 9.95446, 4.01484, 9.95842, 4.01536, 9.95739, 4.01403, 0, 0
50, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
51, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
52, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
53, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
54, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
55, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
56, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
57, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
58, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
59, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
60, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
61, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
62, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
63, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
64, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
65, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
66, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
67, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
68, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
69, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
70, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
71, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
72, 0.00000, 9.95445, 4.01484, 9.9584, 4.01535, 9.95737, 4.01403, 0, 0
73, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.84561, 0, 0
74, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.8456, 0, 0
75, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.8456, 0, 0
76, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.8456, 0, 0
77, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.8456, 0, 0
78, 0.00000, 16.086, 6.84738, 16.0942, 6.84835, 16.092, 6.8456, 0, 0
