hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
2, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
3, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
4, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
5, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
6, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
7, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
8, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
9, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
10, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
11, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
12, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
13, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
14, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
15, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
16, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
17, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
18, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
19, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
20, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
21, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
22, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
23, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
24, 0.00000, 8.33963, 3.49621, 8.33998, 3.49626, 8.33988, 3.49614, 0, 0
25, 0.00000, 8.57192, 3.59865, 8.57228, 3.59869, 8.57218, 3.59857, 0, 0
26, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
27, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
28, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
29, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
30, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
31, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
32, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
33, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
34, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
35, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
36, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
37, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
38, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
39, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
40, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
41, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
42, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
43, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
44, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
45, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
46, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
47, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
48, 0.00000, 8.57192, 3.59864, 8.57227, 3.59869, 8.57217, 3.59857, 0, 0
49, 0.00000, 9.26909, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
50, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
51, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
52, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
53, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
54, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
55, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
56, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
57, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
58, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
59, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
60, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
61, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
62, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
63, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
64, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
65, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
66, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
67, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
68, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
69, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
70, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
71, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
72, 0.00000, 9.26908, 3.90673, 9.26949, 3.90678, 9.26937, 3.90664, 0, 0
73, 0.00000, 11.7123, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
74, 0.00000, 11.7122, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
75, 0.00000, 11.7122, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
76, 0.00000, 11.7122, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
77, 0.00000, 11.7122, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
78, 0.00000, 11.7122, 4.74525, 11.7129, 4.7453, 11.7127, 4.7451, 0, 0
