hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
2, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
3, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
4, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
5, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
6, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
7, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
8, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
9, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
10, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
11, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
12, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
13, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
14, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
15, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
16, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
17, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
18, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
19, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
20, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
21, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
22, 0.00000, 0.70936, -0.2896, 0.709699, -0.289959, 0.709674, -0.289872, 0, 0
23, 0.00000, 0.709368, -0.289639, 0.709705, -0.289998, 0.709681, -0.289911, 0, 0
24, 0.00000, 0.70945, -0.290078, 0.709778, -0.290426, 0.709755, -0.290342, 0, 0
25, 0.00000, 1.52201, 0.0572336, 1.52262, 0.057034, 1.52252, 0.0569691, 0, 0
